Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,SubType,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,admitte0,admitte1,admitte2,admitte3,admitte4,admitte5,entry0,entry1,entry2,entry3,entry4,entry5,Vacancy,VacancyDate
六条こども園,六条こども園,福井市,公立,,,,認可保育所,幼保連携型認定こども園,福井市天王町21-1-1,,36.027097,136.234578,,0776-41-1140,,,,,,,,,,,,,,,,,,,,,,,,,,
文殊こども園,文殊こども園,福井市,公立,,,,認可保育所,幼保連携型認定こども園,福井市太田町14-1,,36.011643,136.230259,,0776-38-0221,,,,,,,,,,,,,,,,,,,,,,,,,,
鶉こども園,鶉こども園,福井市,公立,,,,認可保育所,幼保連携型認定こども園,福井市砂子坂町6-20,,36.143461,136.145959,,0776-83-0160,,,,,,,,,,,,,,,,,,,,,,,,,,
棗こども園,棗こども園,福井市,公立,,,,認可保育所,幼保連携型認定こども園,福井市石新保町13-17,,36.145179,136.108165,,0776-85-1130,,,,,,,,,,,,,,,,,,,,,,,,,,
東藤島こども園,東藤島こども園,福井市,公立,,,,認可保育所,幼保連携型認定こども園,福井市藤島町46-13-1,,36.086492,136.27144,,0776-54-4355,,,,,,,,,,,,,,,,,,,,,,,,,,
いずみこども園,いずみこども園,(福)泉通寺福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市若杉浜2丁目302,,36.062136,136.186955,,0776-35-0123,,,,,,,,,,,,,,,,,,,,,,,,,,
幼保連携型認定こども園竹里,幼保連携型認定こども園竹里,(福)竹里会,私立,,,,認可保育所,幼保連携型認定こども園,福井市成和1丁目303,,36.05861,136.244803,,0776-26-1364,,,,,,,,,,,,,,,,,,,,,,,,,,
めぐみこども園,めぐみこども園,(福)めぐみこども園,私立,,,,認可保育所,幼保連携型認定こども園,福井市久喜津町34-1,,36.056925,136.179548,,0776-36-5057,,,,,,,,,,,,,,,,,,,,,,,,,,
青い鳥こども園,青い鳥こども園,(福)青い鳥福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市中央2丁目7-23,,36.0593,136.218075,,0776-21-2817,,,,,,,,,,,,,,,,,,,,,,,,,,
さくら認定こども園,さくら認定こども園,(福)さくら会,私立,,,,認可保育所,幼保連携型認定こども園,福井市文京1丁目30-1,,36.078665,136.224321,,0776-26-1192,,,,,,,,,,,,,,,,,,,,,,,,,,
足羽東こども園,足羽東こども園,(福)足羽福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市東大味町10-1-1,,35.99511,136.258926,,0776-41-3122,,,,,,,,,,,,,,,,,,,,,,,,,,
幼保連携型認定こども園あさかぜ,幼保連携型認定こども園あさかぜ,(福)育幼福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市渕1丁目3211,,36.037789,136.191488,,0776-35-7160,,,,,,,,,,,,,,,,,,,,,,,,,,
エールこども園,エールこども園,(福)青い鳥福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市中央2丁目7-23,,36.0593,136.218075,,0776-21-2817,,,,,,,,,,,,,,,,,,,,,,,,,,
幼保連携型認定こども園三谷館,幼保連携型認定こども園三谷館,(福)育幼福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市中央2丁目12-15,,36.057073,136.219311,,0776-20-5405,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園エンゼル保育園,認定こども園エンゼル保育園,(福)清泉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市西谷2丁目702,,36.038264,136.205234,,0776-33-0200,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園新田塚幼稚園,認定こども園新田塚幼稚園,(学)華蔵学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市新田塚2丁目46-26,,36.089349,136.200158,,0776-26-1191,,,,,,,,,,,,,,,,,,,,,,,,,,
昭和認定こども園昭和幼稚園,昭和認定こども園昭和幼稚園,(学)清行学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市みのり1丁目29-1,,36.048096,136.216336,,0776-35-0058,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園福井佼成幼稚園,認定こども園福井佼成幼稚園,(学)福井佼成学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市春日3丁目1303,,36.051049,136.224288,,0776-35-2413,,,,,,,,,,,,,,,,,,,,,,,,,,
みどりこども園,みどりこども園,(学)心月学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市足羽1丁目22-1,,36.059528,136.207481,,0776-36-2107,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園梅圃幼稚園,認定こども園梅圃幼稚園,(学)梅圃学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市今市町46-23,,36.017483,136.20226,,0776-38-5811,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園栄冠幼稚園,認定こども園栄冠幼稚園,(学)福井栄冠学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市大手3-15-16,,36.066363,136.218324,,0776-22-4598,,,,,,,,,,,,,,,,,,,,,,,,,,
しみずこども園,しみずこども園,(福)竹伸会,私立,,,,認可保育所,幼保連携型認定こども園,福井市風巻町28-5,,36.027562,136.148074,,0776-98-3660,,,,,,,,,,,,,,,,,,,,,,,,,,
ひまわりこども園,ひまわりこども園,(福)ひまわり保育園,私立,,,,認可保育所,幼保連携型認定こども園,福井市足羽3丁目2-28,,36.056992,136.204959,,0776-35-2417,,,,,,,,,,,,,,,,,,,,,,,,,,
社中央第一こども園,社中央第一こども園,(福)やしろ中央会,私立,,,,認可保育所,幼保連携型認定こども園,福井市渕町4丁目1005,,36.04088,136.194529,,0776-36-0695,,,,,,,,,,,,,,,,,,,,,,,,,,
和田こども園,和田こども園,(福)和田保育園,私立,,,,認可保育所,幼保連携型認定こども園,福井市和田3丁目907,,36.04908,136.245618,,0776-26-3297,,,,,,,,,,,,,,,,,,,,,,,,,,
玉ノ江こども園,玉ノ江こども園,(福)竹伸会,私立,,,,認可保育所,幼保連携型認定こども園,福井市大島町柳504,,36.03369,136.207276,,0776-36-7634,,,,,,,,,,,,,,,,,,,,,,,,,,
社中央第二こども園,社中央第二こども園,(福)やしろ中央会,私立,,,,認可保育所,幼保連携型認定こども園,福井市運動公園1丁目3903,,36.050151,136.179001,,0776-36-8403,,,,,,,,,,,,,,,,,,,,,,,,,,
あさひこども園,あさひこども園,(福)光乗福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市栂野町2-53,,36.035215,136.251284,,0776-41-3022,,,,,,,,,,,,,,,,,,,,,,,,,,
みづこしこども園,みづこしこども園,(福)あすなろ会,私立,,,,認可保育所,幼保連携型認定こども園,福井市豊岡1丁目11-15,,36.069674,136.192836,,0776-22-1010,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園花園,認定こども園花園,(福)町屋福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市松本1丁目36-15,,36.075655,136.231929,,0776-26-6280,,,,,,,,,,,,,,,,,,,,,,,,,,
えばたこども園,えばたこども園,(福)えばた福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市江端町12-9,,36.026419,136.213751,,0776-38-3335,,,,,,,,,,,,,,,,,,,,,,,,,,
さくらんぼ認定こども園,さくらんぼ認定こども園,(福)育友福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市高木中央2丁目3815,,36.089623,136.236962,,0776-53-3063,,,,,,,,,,,,,,,,,,,,,,,,,,
杉の木台こども園,杉の木台こども園,(福)竹伸会,私立,,,,認可保育所,幼保連携型認定こども園,福井市中野1丁目2105,,36.000441,136.18641,,0776-38-3588,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園鷹巣ひかり,認定こども園鷹巣ひかり,(福)鷹巣福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市西二ﾂ屋町9-8,,36.13562,136.079882,,0776-86-1066,,,,,,,,,,,,,,,,,,,,,,,,,,
清水台こども園,清水台こども園,(福)竹伸会,私立,,,,認可保育所,幼保連携型認定こども園,福井市ｸﾞﾘｰﾝﾊｲﾂ1丁目128,,36.045493,136.158339,,0776-98-2135,,,,,,,,,,,,,,,,,,,,,,,,,,
やわらぎ木田認定こども園,やわらぎ木田認定こども園,(福）六条厚生会,私立,,,,認可保育所,幼保連携型認定こども園,福井市木田2丁目1701,,36.045314,136.225344,,0776-34-8260,,,,,,,,,,,,,,,,,,,,,,,,,,
三心えんざん認定こども園,三心えんざん認定こども園,(福）育友福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市今泉町25-16-1,,36.067679,136.25368,,0776-53-2666,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園木の実,認定こども園木の実,(福）町屋福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市北四ﾂ居1丁目30-15,,36.064659,136.247461,,0776-52-1801,,,,,,,,,,,,,,,,,,,,,,,,,,
千寿たんぽぽこども園,千寿たんぽぽこども園,(福)森田福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市栗森町15-25,,36.117067,136.238556,,0776-56-1777,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿苑こども園,鹿苑こども園,(福)専照会,私立,,,,認可保育所,幼保連携型認定こども園,福井市みのり2丁目3-44,,36.051049,136.213506,,0776-35-2059,,,,,,,,,,,,,,,,,,,,,,,,,,
文京こども園,文京こども園,(福)文京保育園,私立,,,,認可保育所,幼保連携型認定こども園,福井市文京4丁目9-14,,36.075992,136.209242,,0776-22-4730,,,,,,,,,,,,,,,,,,,,,,,,,,
経田こども園,経田こども園,(福)高明会,私立,,,,認可保育所,幼保連携型認定こども園,福井市二の宮3丁目6-18,,36.083703,136.216316,,0776-21-2420,,,,,,,,,,,,,,,,,,,,,,,,,,
はちまんこども園,はちまんこども園,(福)八幡保育園,私立,,,,認可保育所,幼保連携型認定こども園,福井市月見4丁目18-4,,36.046049,136.207706,,0776-36-7005,,,,,,,,,,,,,,,,,,,,,,,,,,
あさむつこども園,あさむつこども園,(福)あさむつ福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市下荒井町4-76,,36.027888,136.206929,,0776-38-9605,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園暁幼稚園,認定こども園暁幼稚園,(学）福井加茂学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市久喜津町64-25-1,,36.050012,136.177301,,0776-36-0988,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園城之橋幼稚園,認定こども園城之橋幼稚園,(学)福井城之橋学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市日之出3丁目3-30,,36.061842,136.229026,,0776-22-4859,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園花園幼稚園,認定こども園花園幼稚園,(学)霊泉寺学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市文京5丁目25-21,,36.07912,136.203291,,0776-26-6310,,,,,,,,,,,,,,,,,,,,,,,,,,
ゆりかご認定こども園,ゆりかご認定こども園,(福)ゆりかご保育園,私立,,,,認可保育所,幼保連携型認定こども園,福井市灯明寺3丁目2515,,36.096313,136.212562,,0776-25-2717,,,,,,,,,,,,,,,,,,,,,,,,,,
岡保こども園,岡保こども園,(福)岡保保育園,私立,,,,認可保育所,幼保連携型認定こども園,福井市河水町18-10,,36.050981,136.273296,,0776-54-5825,,,,,,,,,,,,,,,,,,,,,,,,,,
日光こども園,日光こども園,(福)日光福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市日光2丁目22-20,,36.072071,136.198183,,0776-26-2700,,,,,,,,,,,,,,,,,,,,,,,,,,
ゆきんこ光陽こども園,ゆきんこ光陽こども園,(福)ゆきんこの会,私立,,,,認可保育所,幼保連携型認定こども園,福井市光陽2丁目23-25,,36.064624,136.201609,,0776-24-3584,,,,,,,,,,,,,,,,,,,,,,,,,,
ふじしま認定こども園,ふじしま認定こども園,(福）藤島会,私立,,,,認可保育所,幼保連携型認定こども園,福井市四ﾂ井1丁目7-11,,36.066509,136.235942,,0776-52-2110,,,,,,,,,,,,,,,,,,,,,,,,,,
中藤東こども園,中藤東こども園,(福)中藤福祉会,私立,,,,認可保育所,幼保連携型認定こども園,福井市高柳3丁目3206,,36.097969,136.24042,,0776-53-6633,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園　聖三一幼稚園,認定こども園　聖三一幼稚園,(学)聖三一学園,私立,,,,認可保育所,幼保連携型認定こども園,福井市宝永2丁目5-7,,36.069011,136.226349,,0776-22-3347,,,,,,,,,,,,,,,,,,,,,,,,,,
認定こども園　光の子,認定こども園　光の子,(学)光の子幼稚園,私立,,,,認可保育所,幼保連携型認定こども園,福井市日光2丁目9-7,,36.07309,136.201282,,0776-29-1214,,,,,,,,,,,,,,,,,,,,,,,,,,
